YEAR,AUTHORS,GEOM,MAT,ROD_DIM,ROD_PITCH,SHROUD_DIM,Lh,FLUID,FLOW_DIR,POW_DIST,P_IN,G,T_IN,TSUB_IN,HSUB_IN,XE_IN,P_EXIT,T_EXIT,TSUB_EXIT,HSUB_EXIT,X_EXIT,XE_EXIT,CHF,Z_CHF,APP,CHANGE,CHF_DETECT,FQ
none,none,none,none,m,m,m,m,none,degree,none,Pa,kg/m2-s,K,K,J/kg,none,Pa,K,K,J/kg,none,none,W/m2,m,none,none,none,none
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,216.1,,,3447380,,,,0.74,,2870678,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,303.8,,216.1,,,3447380,,,,0.71,,596218,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,75.6,,,103421,,,,0.8,,596218,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,52.8,,,103421,,,,0.76,,545744,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,32.2,,,103421,,,,0.77,,523662,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,15.6,,,103421,,,,0.77,,504735,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,56.96,,0,,,103421,,,,0.75,,476343241,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,75,,,103421,,,,0.6,,1223981,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,51.1,,,103421,,,,0.63,,1205054,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,30.6,,,103421,,,,0.74,,1315464,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,16.7,,,103421,,,,0.71,,1233445,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,5,,,103421,,,,0.71,,1198745,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,146.47,,1.1,,,103421,,,,0.71,,1179817,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,76.1,,,103421,,,,0.59,,2059948,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,50.6,,,103421,,,,0.64,,2059948,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,29.4,,,103421,,,,0.67,,2047330,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,7.8,,,103421,,,,0.68,,1968465,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,166.1,,,103421,,,,0.78,,621454,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,109.4,,,103421,,,,0.8,,564672,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,76.7,,,103421,,,,0.8,,520508,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,25.6,,,103421,,,,0.84,,470034,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,166.1,,,103421,,,,0.86,,1662469,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,109.4,,,103421,,,,0.93,,1567832,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,73.9,,,103421,,,,0.84,,1347010,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,21.7,,,103421,,,,0.89,,1227136,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,215.6,,,103421,,,,0.77,,1687706,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,108.3,,,103421,,,,0.94,,1577296,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,75.6,,,103421,,,,0.89,,1397484,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,217.8,,,103421,,,,0.75,,2870678,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,168.9,,,103421,,,,0.82,,2813895,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,108.3,,,103421,,,,0.87,,2599383,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,71.7,,,103421,,,,0.74,,2100958,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,28.3,,,103421,,,,0.78,,1930610,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,257.68,,104.4,,,103421,,,,0.72,,2230296,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,59.67,,76.1,,,101353,,,,0.71,,567826,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,147.83,,76.1,,,101353,,,,0.69,,1388020,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,250.9,,76.1,,,101353,,,,0.59,,2063103,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,359.4,,76.1,,,101353,,,,0.54,,2741340,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.003048,0.1524,water,90,uniform,,598.1,,76.1,,,101353,,,,0.38,,3501596,0.1524,,,,
1955,Warren et al.,C0,SS-304,,,0.0017018,0.08509,water,90,uniform,,154.61,,76.1,,,101353,,,,0.8,,1646697,0.08509,,,,
1955,Warren et al.,C0,SS-304,,,0.0017018,0.08509,water,90,uniform,,249.55,,76.1,,,101353,,,,0.72,,2410108,0.08509,,,,
1955,Warren et al.,C0,SS-304,,,0.0017018,0.08509,water,90,uniform,,310.58,,76.1,,,101353,,,,0.65,,2779195,0.08509,,,,
1955,Warren et al.,C0,SS-304,,,0.0017018,0.08509,water,90,uniform,,459.76,,76.1,,,101353,,,,0.54,,3533142,0.08509,,,,
1955,Warren et al.,C0,SS-304,,,0.0017018,0.08509,water,90,uniform,,619.8,,76.1,,,101353,,,,0.46,,4227152,0.08509,,,,
